Date,inflation_USA,inflation_kor,inflation_china,unemployment_kor
2020-12-31,1.4064516129032256,0.9390322580645161,-0.2774193548387096,5.370967741935484
2021-01-01,1.4,0.95,-0.3,5.4
2021-01-02,1.4003225806451611,0.9651612903225806,-0.29032258064516125,5.35483870967742
2021-01-03,1.4006451612903226,0.9803225806451612,-0.2806451612903226,5.309677419354839
2021-01-04,1.4009677419354838,0.9954838709677419,-0.27096774193548384,5.264516129032258
2021-01-05,1.401290322580645,1.0106451612903224,-0.26129032258064516,5.219354838709678
2021-01-06,1.4016129032258065,1.0258064516129033,-0.25161290322580643,5.174193548387097
2021-01-07,1.4019354838709677,1.040967741935484,-0.24193548387096772,5.129032258064516
2021-01-08,1.4022580645161289,1.0561290322580645,-0.23225806451612901,5.083870967741936
2021-01-09,1.4025806451612903,1.0712903225806452,-0.2225806451612903,5.038709677419355
2021-01-10,1.4029032258064515,1.0864516129032258,-0.2129032258064516,4.993548387096775
2021-01-11,1.4032258064516128,1.1016129032258064,-0.2032258064516129,4.948387096774193
2021-01-12,1.4035483870967742,1.116774193548387,-0.1935483870967742,4.903225806451613
2021-01-13,1.4038709677419354,1.1319354838709677,-0.18387096774193545,4.858064516129033
2021-01-14,1.4041935483870966,1.1470967741935483,-0.17419354838709675,4.812903225806452
2021-01-15,1.404516129032258,1.162258064516129,-0.16451612903225804,4.767741935483871
2021-01-16,1.4048387096774193,1.1774193548387095,-0.15483870967741933,4.72258064516129
2021-01-17,1.4051612903225805,1.1925806451612901,-0.14516129032258063,4.67741935483871
2021-01-18,1.4054838709677417,1.2077419354838708,-0.13548387096774192,4.6322580645161295
2021-01-19,1.4058064516129032,1.2229032258064516,-0.12580645161290321,4.587096774193548
2021-01-20,1.4061290322580644,1.2380645161290322,-0.11612903225806451,4.541935483870968
2021-01-21,1.4064516129032256,1.2532258064516129,-0.1064516129032258,4.496774193548387
2021-01-22,1.406774193548387,1.2683870967741935,-0.09677419354838707,4.451612903225807
2021-01-23,1.4070967741935483,1.283548387096774,-0.08709677419354836,4.406451612903226
2021-01-24,1.4074193548387095,1.2987096774193547,-0.07741935483870965,4.361290322580645
2021-01-25,1.407741935483871,1.3138709677419353,-0.06774193548387095,4.316129032258065
2021-01-26,1.4080645161290322,1.329032258064516,-0.05806451612903224,4.270967741935484
2021-01-27,1.4083870967741934,1.3441935483870968,-0.048387096774193505,4.225806451612903
2021-01-28,1.4087096774193548,1.3593548387096774,-0.03870967741935483,4.180645161290323
2021-01-29,1.409032258064516,1.374516129032258,-0.029032258064516092,4.135483870967742
2021-01-30,1.4093548387096773,1.3896774193548387,-0.019354838709677413,4.090322580645161
2021-01-31,1.4096774193548387,1.4048387096774193,-0.009677419354838679,4.04516129032258
2021-02-01,1.41,1.42,0.0,4.0
2021-02-02,1.4164285714285714,1.437142857142857,0.010714285714285714,3.9964285714285714
2021-02-03,1.4228571428571428,1.4542857142857142,0.02142857142857143,3.992857142857143
2021-02-04,1.4292857142857143,1.4714285714285713,0.03214285714285714,3.9892857142857143
2021-02-05,1.4357142857142857,1.4885714285714284,0.04285714285714286,3.9857142857142858
2021-02-06,1.4421428571428572,1.5057142857142856,0.053571428571428575,3.982142857142857
2021-02-07,1.4485714285714286,1.5228571428571427,0.06428571428571428,3.9785714285714286
2021-02-08,1.455,1.54,0.075,3.975
2021-02-09,1.4614285714285713,1.5571428571428572,0.08571428571428572,3.9714285714285715
2021-02-10,1.4678571428571427,1.5742857142857143,0.09642857142857143,3.967857142857143
2021-02-11,1.4742857142857142,1.5914285714285714,0.10714285714285715,3.9642857142857144
